
Files already downloaded and verified
Epoch [255/500], Train Loss: 0.4962, Test Loss: 1.2814, Test Accuracy: 62.34%
Epoch [256/500], Train Loss: 0.4481, Test Loss: 1.0272, Test Accuracy: 66.52%
Epoch [257/500], Train Loss: 0.4713, Test Loss: 1.8683, Test Accuracy: 54.06%
Epoch [258/500], Train Loss: 0.5095, Test Loss: 1.6548, Test Accuracy: 53.41%
Epoch [259/500], Train Loss: 0.4769, Test Loss: 1.7712, Test Accuracy: 52.27%
Epoch [260/500], Train Loss: 0.5004, Test Loss: 1.9660, Test Accuracy: 53.27%
Epoch [261/500], Train Loss: 0.4594, Test Loss: 2.0739, Test Accuracy: 47.84%
Epoch [262/500], Train Loss: 0.4899, Test Loss: 1.5010, Test Accuracy: 55.11%
Epoch [263/500], Train Loss: 0.4800, Test Loss: 1.1926, Test Accuracy: 63.06%
Epoch [264/500], Train Loss: 0.4992, Test Loss: 2.3239, Test Accuracy: 49.59%
Epoch [265/500], Train Loss: 0.4758, Test Loss: 3.6719, Test Accuracy: 36.19%
Epoch [266/500], Train Loss: 0.4631, Test Loss: 3.0876, Test Accuracy: 44.86%
Epoch [267/500], Train Loss: 0.4907, Test Loss: 1.8332, Test Accuracy: 52.11%
Epoch [268/500], Train Loss: 0.4518, Test Loss: 1.7273, Test Accuracy: 54.85%
Epoch [269/500], Train Loss: 0.4173, Test Loss: 1.0760, Test Accuracy: 65.25%
Epoch [270/500], Train Loss: 0.4339, Test Loss: 1.5085, Test Accuracy: 54.35%
Epoch [271/500], Train Loss: 0.4689, Test Loss: 1.3011, Test Accuracy: 61.02%
Epoch [272/500], Train Loss: 0.4782, Test Loss: 1.2987, Test Accuracy: 63.81%
Epoch [273/500], Train Loss: 0.4731, Test Loss: 1.8501, Test Accuracy: 51.30%
Epoch [274/500], Train Loss: 0.4262, Test Loss: 1.5760, Test Accuracy: 56.76%
Epoch [275/500], Train Loss: 0.4338, Test Loss: 1.1032, Test Accuracy: 65.82%
Epoch [276/500], Train Loss: 0.4082, Test Loss: 1.6022, Test Accuracy: 56.23%
Epoch [277/500], Train Loss: 0.4545, Test Loss: 1.7637, Test Accuracy: 52.35%
Epoch [278/500], Train Loss: 0.4428, Test Loss: 2.7599, Test Accuracy: 45.33%
Epoch [279/500], Train Loss: 0.4250, Test Loss: 2.7955, Test Accuracy: 40.81%
Epoch [280/500], Train Loss: 0.4116, Test Loss: 2.7992, Test Accuracy: 42.90%
Epoch [281/500], Train Loss: 0.4356, Test Loss: 4.1217, Test Accuracy: 39.52%
Epoch [282/500], Train Loss: 0.4461, Test Loss: 0.9480, Test Accuracy: 67.75%
Epoch [283/500], Train Loss: 0.3988, Test Loss: 2.5788, Test Accuracy: 42.09%
Epoch [284/500], Train Loss: 0.4069, Test Loss: 1.4618, Test Accuracy: 55.52%
Epoch [285/500], Train Loss: 0.4170, Test Loss: 1.0704, Test Accuracy: 65.96%
Epoch [286/500], Train Loss: 0.4227, Test Loss: 2.2321, Test Accuracy: 47.08%
Epoch [287/500], Train Loss: 0.4287, Test Loss: 1.3180, Test Accuracy: 60.43%
Epoch [288/500], Train Loss: 0.4237, Test Loss: 2.1534, Test Accuracy: 51.84%
Epoch [289/500], Train Loss: 0.3778, Test Loss: 1.5114, Test Accuracy: 57.70%
Epoch [290/500], Train Loss: 0.3824, Test Loss: 1.9967, Test Accuracy: 57.30%
Epoch [291/500], Train Loss: 0.3945, Test Loss: 1.8856, Test Accuracy: 53.53%
Epoch [292/500], Train Loss: 0.3894, Test Loss: 3.8223, Test Accuracy: 40.76%
Epoch [293/500], Train Loss: 0.4090, Test Loss: 1.9037, Test Accuracy: 53.53%
Epoch [294/500], Train Loss: 0.4140, Test Loss: 2.2573, Test Accuracy: 44.49%
Epoch [295/500], Train Loss: 0.3759, Test Loss: 1.9134, Test Accuracy: 52.52%
Epoch [296/500], Train Loss: 0.3802, Test Loss: 1.6223, Test Accuracy: 57.40%
